trip_history_id,trip_origin,trip_destination,trip_mode,actual_origin_latitude,actual_origin_longitude,actual_destination_latitude,actual_destination_longitude,actual_departure_time,actual_arrival_time,actual_travel_time,actual_distance,fuel_economy,fes,average_speed,total_mileage
cbebc2e8-11b3-409d-9f2c-760719f9d0ae,"Belvedere Avenue (39.0047601, -76.9357039)","1355 Taylor Street Northwest (38.941044, -77.031755)",drive,38.98890031,-76.93912469,38.94118444,-77.03193222,2018-05-02 20:17:20.942+00,2018-05-02 21:29:37.547+00,72,13785.19269,20.18340674,88.97548831,13.5409604,8.156358046
9da7de9c-ae36-4199-83cf-12d7f8c40100,"8314 Paint Branch Drive (38.9936767984545, -76.9366987143428)","North Center Drive (39.0023738, -76.915522)",drive,38.99403018,-76.93706634,39.00122322,-76.9147248,2018-05-02 21:03:40.061+00,2018-05-02 21:14:45.164+00,11,3492.314615,10.96839645,20,20.76483241,1.744519153
bc1312ec-c75c-40cf-9c3b-22982663240a,"5640 Nicholson Lane (39.0442447, -77.1130095)","4524 Chestnut Street (38.9934069, -77.091408)",drive,39.0444353,-77.11315982,38.98850206,-77.09604871,2018-05-02 22:01:42.451+00,2018-05-02 22:50:31.642+00,48,6990.233026,63.00242053,100,18.30572007,3.903061753
8a5793a9-de49-42ec-aac0-359413267038,"8127 Regents Drive (38.992016602158, -76.9403220621696)","Whole Foods Market (38.9692295, -76.9367784)",drive,38.99030413,-76.94065499,38.96979649,-76.93831924,2018-05-02 22:22:50.744+00,2018-05-02 22:31:27.146+00,8,2460.304331,16.9920751,39.87807854,13.79181001,1.530244428
cda8df2f-42f7-433e-992f-2ee18152c3d5,"8136 Paint Branch Drive (38.989130377348, -76.9375358395792)","4305 Chestnut Street (38.993598, -77.0852483)",drive,38.98882417,-76.93491241,38.99368166,-77.08501731,2018-05-02 23:05:02.257+00,2018-05-02 23:35:57.882+00,30,19857.36385,32.46175843,100,20.20309215,12.27126131
cf153ff1-7975-4c9d-a9a4-2f3436970c89,"4524-4526 Chestnut Street (38.9934805361917, -77.091456223351)","5640 Nicholson Lane (39.0442447, -77.1130095)",drive,38.99353636,-77.09149285,39.0444714,-77.11301501,2018-05-03 12:17:39.073+00,2018-05-03 13:05:21.681+00,47,6235.481339,33.33720408,100,23.24222172,3.878611148
5301c0fc-1291-438f-9e2e-69c31ae8aee2,"8537 Paint Branch Drive (38.995215293982, -76.9374312470316)","Columbia Montessori School (39.2224868, -76.8750876)",drive,38.99624132,-76.93823164,39.22257886,-76.8751183,2018-05-03 20:50:50.164+00,2018-05-03 21:34:16.599+00,43,30842.63233,26.10418013,100,27.6398371,19.17347275
5e953fce-6101-45e4-a626-19ec8cbc3204,"Traffic Dr, Hanover, MD 21076, USA (39.1593547, -76.6776235)","6927 Andersons Way (39.0821405, -76.8868658)",drive,39.15935516,-76.67761993,39.08193588,-76.88831329,2018-05-03 20:57:26+00,2018-05-03 21:26:30+00,29,30410,29.39122619,100,39.89224687,18.8883919
18fc4296-d924-4fe1-9015-46adbef61d4c,"5640 Nicholson Lane (39.0442447, -77.1130095)","4524 Chestnut Street (38.9934069, -77.091408)",drive,39.04454041,-77.11294281,38.99362416,-77.09137215,2018-05-03 21:35:07.31+00,2018-05-03 22:00:49.4+00,25,6295.567037,11.09760059,20,19.90801679,3.916071792
bba8bf2b-85fa-4c50-821d-44aa843d4577,"10508 Marble Faun Lane (39.2225967161723, -76.8751524110109)","8332 Berry Pl (39.1403857, -76.903634)",drive,39.22259672,-76.87515241,39.14020495,-76.90321427,2018-05-03 21:37:16.85+00,2018-05-03 21:51:05.692+00,13,10736.5751,27.78941367,100,29.35552089,6.511527521
