,trip_history_id,trip_origin,trip_destination,trip_mode,actual_origin_latitude,actual_origin_longitude,actual_destination_latitude,actual_destination_longitude,actual_departure_time,actual_arrival_time,actual_travel_time,actual_distance,fuel_economy,fes,average_speed,total_mileage,>40mph,>70mph,>1 accel,>5 accel,>5 deccel,Neg Jerk,Pos Jerk,95th Jerk,98th Jerk,%error
159,dd8efc21-ea6b-4d31-aaf1-d222d6876112,"3065 Oliver Street Northwest (38.9666794008007, -77.0597246848764)","Beauvoir, The National Cathedral Elementary School (38.9298955, -77.0677969)",drive,38.96666633,-77.05963232,38.93108639,-77.06858185,2018-07-06 12:10:11.411+00,2018-07-06 12:22:07.173+00,11,5920.227751,19.9450399,85.30830621,18.3486639,3.679059808,0,0,0.349162011,0.175977654,0.001396648,0.495810056,0.488826816,32.72145991,43.44554251,0
160,df45f9bc-4ccc-4dbf-9532-5223b176961a,"6030-6098 Westchester Park Drive (38.992457063905, -76.8988444470585)","Jeong H. Kim Engineering Building (38.9910562, -76.9381112)",drive,38.99254763,-76.89869131,38.9899071,-76.93723808,2018-05-11 20:15:08.344+00,2018-05-11 20:26:25.241+00,11,6292.01968,23.70106336,76.18831252,25.05113444,3.90992413,0.205317578,0,0.305760709,0.153618907,0.001477105,0.446085672,0.420974889,30.00000245,49.17848263,0
161,e1cfdb4b-ffc7-414b-b4a0-ad9737d21a72,"9326 Cherry Hill Rd, College Park, MD 20740, USA (39.0143905, -76.9388866)","4298 Campus Drive, College Park, MD, USA (38.9888916015625, -76.9381637573242)",drive,39.01437759,-76.93889618,38.9900322,-76.93725586,2018-06-09 14:19:11+00,2018-06-09 14:37:33+00,18,5895,20.69284421,96.81298788,18.60280424,3.671276244,0.030864198,0,0.291666667,0.135802469,0.00154321,0.37345679,0.407407407,38.20538427,58.28740721,0
162,e1f0939a-e021-4453-ba16-457606d06e3f,"8680 Paint Branch Dr, College Park, MD 20742, USA (38.9977534, -76.9403533)","9308 Cherry Hill Road, College Park, MD, USA (39.0177688598633, -76.9381561279297)",drive,38.99858475,-76.94134521,39.01825333,-76.9367218,2018-06-13 23:04:29+00,2018-06-13 23:14:18+00,7,4552,25.53514177,49.66981702,30.40172757,2.83151312,0.089506173,0,0.277777778,0.157407407,0.00308642,0.37037037,0.388888889,47.21621192,73.84318299,0
163,e357b01f-1dce-479a-980d-f85ae2abe9f0,"8 Lokus Road (39.0921652084581, -76.7051524110853)","1805 Chatfield Terrace (39.128599, -76.706902)",drive,39.09228243,-76.7050701,39.12848452,-76.7068474,2018-05-01 20:09:27.89+00,2018-05-01 20:24:30.328+00,15,6626.593682,21.40043136,20,32.78674615,3.92833932,0.042553191,0,0.329787234,0.180851064,0.010638298,0.404255319,0.425531915,32.32447972,48.18898185,0.050505051
164,e51d2272-f992-4d24-b4cb-a995902396db,"12019 Georgia Ave, Silver Spring, MD 20902, USA (39.0523293, -77.0503178)","5342 S Center Dr, Greenbelt, MD 20770, USA (39.0020866394043, -76.9143142700195)",drive,39.05232239,-77.05033112,39.00256348,-76.91592407,2018-06-09 22:15:35+00,2018-06-09 22:44:11+00,28,21608,25.84463379,56.54741747,34.15696484,13.42070034,0.304878049,0.033101045,0.345818815,0.183797909,0.00087108,0.456445993,0.43989547,37.0160797,53.93373225,0
165,e586aa0b-121d-4f51-964d-96b60ac14c62,"8314 Paint Branch Drive (38.9935693005463, -76.937248734829)","Giant Food (38.9994446, -76.9106374)",drive,38.99449433,-76.93722325,38.998538,-76.91188107,2018-05-03 22:28:13.072+00,2018-05-03 22:37:31.124+00,9,3786.592187,19.8227938,83.42759699,18.86107217,2.349161477,0.084078712,0,0.314847943,0.152057245,0.001788909,0.40608229,0.454382826,31.70603896,45.87139702,0
166,e5a62a08-9769-4b4f-8bb2-14b5c4ffb2e8,"14716 Potomac Mills Road (38.6301878489656, -77.2955223009807)","5532 Eastbourne Drive (38.799208, -77.2428278)",drive,38.63019498,-77.29551769,38.79870224,-77.24433885,2018-05-29 21:16:39.001+00,2018-05-29 21:45:38.598+00,28,27768.25932,26.36740214,68.16449211,35.99552437,17.25403994,0.444837758,0.064306785,0.158702065,0.027728614,0.000589971,0.506784661,0.466076696,3.394272408,6.527320121,0.00528169
167,e69df352-c595-40ff-8396-f4232b07313f,"946 J Clyde Morris Boulevard (37.0941548981118, -76.4585260581937)","273 Gooch Drive (37.271159, -76.7140719)",drive,37.09418796,-76.45860468,37.27028463,-76.70687783,2018-05-20 19:11:01.126+00,2018-05-20 20:35:07.774+00,84,38117.56688,20.39175844,20,20.4819366,23.68073248,0.22319933,0.068676717,0.29459799,0.131281407,0.00020938,0.448283082,0.479061977,96.20571748,114.0649748,0.009950249
168,ebeb359b-274a-4dae-84ce-941827a69bb7,"8483 Paint Branch Drive (38.9942172845675, -76.9364426538447)","5342 S Center Dr (39.002088, -76.914318)",drive,38.99421728,-76.93644265,38.99810675,-76.92222687,2018-05-22 16:16:36.19+00,2018-05-22 16:22:03.415+00,5,3229.434339,23.20562439,67.75530868,23.8876015,1.908696722,0.182108626,0,0.373801917,0.182108626,0.003194888,0.523961661,0.434504792,40.05906128,52.49344245,0.003184713
